country,state,city,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date,lat,lon
Brazil,SP,Adamantina/SP,3500105,35091,Adamantina,115,3533,327.53268,10062.37362,0.03255,MS,2021-07-14,6,2,2021-07-14,-21.6866517,-51.0762975
Brazil,SP,Adolfo/SP,3500204,35156,José Bonifácio,15,546,422.05965,15362.9713,0.02747,MS,2021-07-14,0,1,2021-07-14,-21.2356597,-49.6441918
Brazil,SP,Aguaí/SP,3500303,35142,Mantiqueira,98,3277,267.40886,8941.82493,0.02991,MS,2021-07-14,13,1,2021-07-14,-22.0592036,-46.979384
Brazil,SP,Agudos/SP,3500709,35062,Bauru,102,4072,272.71998,10887.40943,0.02505,MS,2021-07-14,24,0,2021-07-14,-22.471162,-48.987822
Brazil,SP,Alambari/SP,3500758,35161,Itapetininga,11,597,179.47463,9740.57758,0.01843,MS,2021-07-14,3,1,2021-07-14,-23.550338,-47.897971
Brazil,SP,Alfredo Marcondes/SP,3500808,35112,Alta Sorocabana,12,250,286.80688,5975.1434,0.048,MS,2021-07-14,0,0,2021-07-14,-21.9527,-51.413956
Brazil,SP,Altair/SP,3500907,35051,Norte - Barretos,12,266,286.66985,6354.51505,0.04511,MS,2021-07-14,2,0,2021-07-14,-20.5238955,-49.0606135
Brazil,SP,Altinópolis/SP,3501004,35133,Vale das Cachoeiras,42,827,259.21126,5103.99309,0.05079,MS,2021-07-14,9,0,2021-07-14,-21.021364,-47.3712
Brazil,SP,Alto Alegre/SP,3501103,35023,Consórcios do DRS II,20,367,489.23679,8977.49511,0.0545,MS,2021-07-14,0,0,2021-07-14,-21.5820592,-50.1661976
Brazil,SP,Alumínio/SP,3501152,35163,Sorocaba,44,1506,234.45409,8024.72425,0.02922,MS,2021-07-14,1,0,2021-07-14,-23.5203479,-47.2575256
Brazil,SP,Alvinlândia/SP,3501509,35093,Marília,9,140,278.03522,4324.99228,0.06429,MS,2021-07-14,0,0,2021-07-14,-22.4431852,-49.7643596
Brazil,SP,Americana/SP,3501608,35072,Região Metropolitana de Campinas,731,23700,302.04365,9792.66005,0.03084,MS,2021-07-14,144,3,2021-07-14,-22.7392463,-47.3306032
Brazil,SP,Amparo/SP,3501905,35074,Circuito das Águas,134,6697,184.37745,9214.74469,0.02001,MS,2021-07-14,40,0,2021-07-14,-22.70111,-46.76444
Brazil,SP,Américo Brasiliense/SP,3501707,35031,Central do DRS III,89,3949,216.90388,9624.19575,0.02254,MS,2021-07-14,19,0,2021-07-14,-21.7297099,-48.1052092
Brazil,SP,Américo de Campos/SP,3501806,35157,Votuporanga,32,1051,535.02759,17572.31232,0.03045,MS,2021-07-14,4,0,2021-07-14,-20.298476,-49.735904
Brazil,SP,Analândia/SP,3502002,35104,Rio Claro,4,324,79.11392,6408.22785,0.01235,MS,2021-07-14,0,0,2021-07-14,-22.128917,-47.661939
Brazil,SP,Andradina/SP,3502101,35022,Lagos do DRS II,257,6285,449.28499,10987.37806,0.04089,MS,2021-07-14,40,0,2021-07-14,-20.896505,-51.3742765
