country,state,city,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths,last_info_date,lat,lon
Brazil,GO,Abadia de Goiás/GO,5200050,52001,Central,36,1535,401.87542,17135.52132,0.02345,MS,2021-07-14,0,0,2021-07-14,-16.7572644,-49.4412205
Brazil,MG,Abadia dos Dourados/MG,3100104,31074,Patrocínio / Monte Carmelo,14,456,199.82872,6508.70682,0.0307,MS,2021-07-14,5,0,2021-07-14,-18.4911191,-47.4063589
Brazil,GO,Abadiânia/GO,5200100,52011,Pirineus,38,451,185.71917,2204.19334,0.08426,MS,2021-07-14,0,0,2021-07-14,-16.1940946,-48.7067767
Brazil,PA,Abaetetuba/PA,1500107,15011,Tocantins,219,8895,137.66658,5591.52628,0.02462,MS,2021-07-14,0,0,2021-07-14,-1.721828,-48.878843
Brazil,MG,Abaeté/MG,3100203,31024,Sete Lagoas,31,1369,133.33333,5888.17204,0.02264,MS,2021-07-14,0,0,2021-07-14,-19.1566833,-45.4481213
Brazil,CE,Abaiara/CE,2300101,23019,19ª Região Brejo Santo,15,586,126.55024,4943.89606,0.0256,MS,2021-07-14,1,0,2021-07-14,-7.3607808,-39.0487878
Brazil,BA,Abaré/BA,2900207,29017,Paulo Afonso,11,984,54.06202,4836.09377,0.01118,MS,2021-07-14,0,0,2021-07-14,-8.7239913,-39.1139689
Brazil,PR,Abatiá/PR,4100103,41018,18ª RS Cornélio Procópio,18,1077,242.98056,14538.33693,0.01671,SES,2021-07-14,4,0,2021-07-14,-23.3052967,-50.3102532
Brazil,BA,Abaíra/BA,2900108,29023,Seabra,12,289,137.77268,3318.02526,0.04152,MS,2021-07-14,0,0,2021-07-14,-13.2503296,-41.6640342
Brazil,SC,Abdon Batista/SC,4200051,42008,Meio Oeste,4,425,156.98587,16679.74882,0.00941,MS,2021-07-14,0,0,2021-07-14,-27.612419,-51.022992
Brazil,PA,Abel Figueiredo/PA,1500131,15003,Carajás,10,1007,133.58269,13451.77665,0.00993,MS,2021-07-14,0,0,2021-07-14,-4.953001,-48.3958485
Brazil,SC,Abelardo Luz/SC,4200101,42003,Xanxerê,57,1589,317.37194,8847.43875,0.03587,MS,2021-07-14,6,0,2021-07-14,-26.5705893,-52.3280339
Brazil,MG,Abre Campo/MG,3100302,31059,Manhuaçu,16,1217,119.0122,9052.36537,0.01315,MS,2021-07-14,14,1,2021-07-14,-20.2976097,-42.4764741
Brazil,PE,Abreu e Lima/PE,2600054,26010,Recife,231,3224,230.2035,3212.88342,0.07165,MS,2021-07-14,6,0,2021-07-14,-7.900719,-34.898389
Brazil,TO,Abreulândia/TO,1700251,17007,Cantão,6,277,231.30301,10678.48882,0.02166,MS,2021-07-14,0,0,2021-07-14,-9.6221526,-49.1558343
Brazil,MG,Acaiaca/MG,3100401,31060,Ponte Nova,11,229,275.41312,5733.6004,0.04803,MS,2021-07-14,0,0,2021-07-14,-20.3621646,-43.1444162
Brazil,BA,Acajutiba/BA,2900306,29001,Alagoinhas,17,540,111.93784,3555.67261,0.03148,MS,2021-07-14,0,0,2021-07-14,-11.6609659,-38.0186381
Brazil,CE,Acarape/CE,2300150,23003,3ª Região Maracanaú,27,2788,179.56903,18542.16547,0.00968,MS,2021-07-14,0,0,2021-07-14,-4.2237866,-38.7071663
Brazil,CE,Acaraú/CE,2300200,23012,12ª Região Acaraú,110,5040,174.31542,7986.81542,0.02183,MS,2021-07-14,9,0,2021-07-14,-2.8869514,-40.1194713
Brazil,RN,Acari/RN,2400109,24004,4ª Região de Saúde - Caicó,18,1107,161.85595,9954.14081,0.01626,MS,2021-07-14,2,0,2021-07-14,-6.4364689,-36.6394777
Brazil,PA,Acará/PA,1500206,15007,Metropolitana II,32,1329,57.48262,2387.32508,0.02408,MS,2021-07-14,0,0,2021-07-14,-1.961388,-48.1987043
Brazil,PI,Acauã/PI,2200053,22009,Vale do Rio Guaribas,1,200,14.08054,2816.10814,0.005,MS,2021-07-14,0,0,2021-07-14,-8.219542,-41.083059
Brazil,RS,Aceguá/RS,4300034,43022,Região 22 - Pampa,7,362,141.64306,7324.96965,0.01934,MS,2021-07-14,1,0,2021-07-14,-31.8695131,-54.1615593
Brazil,CE,Acopiara/CE,2300309,23018,18ª Região Iguatú,140,3822,256.97032,7015.28973,0.03663,MS,2021-07-14,23,0,2021-07-14,-6.0936464,-39.4543204
Brazil,MT,Acorizal/MT,5100102,51002,Baixada Cuiabana,19,507,356.20547,9505.06187,0.03748,MS,2021-07-14,0,0,2021-07-14,-15.2001544,-56.3668953
Brazil,AC,Acrelândia/AC,1200013,12002,Baixo Acre e Purus,37,1718,238.86378,11091.02647,0.02154,MS,2021-07-14,1,0,2021-07-14,-10.0759167,-67.0526898
Brazil,GO,Acreúna/GO,5200134,52015,Sudoeste I,50,2246,221.76883,9961.85576,0.02226,MS,2021-07-14,0,0,2021-07-14,-17.3959899,-50.3749031
Brazil,SP,Adamantina/SP,3500105,35091,Adamantina,115,3533,327.53268,10062.37362,0.03255,MS,2021-07-14,6,2,2021-07-14,-21.6866517,-51.0762975
Brazil,GO,Adelândia/GO,5200159,52010,Oeste II,4,215,158.98251,8545.31002,0.0186,MS,2021-07-14,0,0,2021-07-14,-16.4155077,-50.1665834
Brazil,SP,Adolfo/SP,3500204,35156,José Bonifácio,15,546,422.05965,15362.9713,0.02747,MS,2021-07-14,0,1,2021-07-14,-21.2356597,-49.6441918
Brazil,PR,Adrianópolis/PR,4100202,41002,2ª RS Metropolitana,29,1384,495.13403,23629.84463,0.02095,SES,2021-07-14,0,0,2021-07-14,-24.6557863,-48.9912769
Brazil,BA,Adustina/BA,2900355,29019,Ribeira do Pombal,24,1037,140.1378,6055.12087,0.02314,MS,2021-07-14,2,0,2021-07-14,-10.5358875,-38.114479
Brazil,PE,Afogados da Ingazeira/PE,2600104,26001,Afogados da Ingazeira,72,5113,192.49278,13669.661,0.01408,MS,2021-07-14,24,1,2021-07-14,-7.750429,-37.6356375
Brazil,RN,Afonso Bezerra/RN,2400307,24003,3ª Região de Saúde - João Câmara,18,783,163.20609,7099.46505,0.02299,MS,2021-07-14,0,0,2021-07-14,-5.4745,-36.57625071327935
Brazil,ES,Afonso Cláudio/ES,3200102,32002,Metropolitana,59,3439,193.72845,11292.07027,0.01716,MS,2021-07-14,3,0,2021-07-14,-20.077841,-41.12606
Brazil,MA,Afonso Cunha/MA,2100105,21005,Caxias,2,244,30.40438,3709.33414,0.0082,MS,2021-07-14,0,-1,2021-07-14,-4.1326105,-43.3230026
Brazil,PE,Afrânio/PE,2600203,26009,Petrolina,15,941,75.71933,4750.1262,0.01594,MS,2021-07-14,3,0,2021-07-14,-8.5198919,-41.0070197
Brazil,PA,Afuá/PA,1500305,15013,Marajó I,16,3034,40.43774,7668.00617,0.00527,MS,2021-07-14,0,0,2021-07-14,-0.1535664,-50.3879223
Brazil,PE,Agrestina/PE,2600302,26003,Caruaru,63,1718,251.3465,6854.17913,0.03667,MS,2021-07-14,3,0,2021-07-14,-8.4558021,-35.9442663
Brazil,PI,Agricolândia/PI,2200103,22004,Entre Rios,6,494,116.93627,9627.75287,0.01215,MS,2021-07-14,0,0,2021-07-14,-5.7967843,-42.6605131
Brazil,SC,Agrolândia/SC,4200200,42004,Alto Vale do Itajaí,27,1621,245.16481,14718.96849,0.01666,MS,2021-07-14,6,0,2021-07-14,-27.4122212,-49.8295774
Brazil,SC,Agronômica/SC,4200309,42004,Alto Vale do Itajaí,13,654,235.97749,11871.48303,0.01988,MS,2021-07-14,4,0,2021-07-14,-27.2660744,-49.7104753
Brazil,MG,Aguanil/MG,3100807,31089,Campo Belo,8,643,176.91287,14219.37196,0.01244,MS,2021-07-14,2,0,2021-07-14,-20.9424533,-45.3927152
Brazil,SP,Aguaí/SP,3500303,35142,Mantiqueira,98,3277,267.40886,8941.82493,0.02991,MS,2021-07-14,13,1,2021-07-14,-22.0592036,-46.979384
Brazil,RS,Agudo/RS,4300109,43001,Região 01 - Verdes Campos,29,1738,176.81849,10596.91482,0.01669,MS,2021-07-14,2,0,2021-07-14,-29.6423259,-53.2494005
Brazil,PR,Agudos do Sul/PR,4100301,41002,2ª RS Metropolitana,25,709,263.99155,7486.80042,0.03526,SES,2021-07-14,2,0,2021-07-14,-25.9890808,-49.3328175
Brazil,SP,Agudos/SP,3500709,35062,Bauru,102,4072,272.71998,10887.40943,0.02505,MS,2021-07-14,24,0,2021-07-14,-22.471162,-48.987822
Brazil,PB,Aguiar/PB,2500205,25007,7ª Região,5,525,88.80995,9325.0444,0.00952,MS,2021-07-14,2,0,2021-07-14,-7.0928404,-38.1727215
Brazil,TO,Aguiarnópolis/TO,1700301,17002,Bico do Papagaio,13,651,188.62449,9445.73418,0.01997,MS,2021-07-14,1,0,2021-07-14,-6.5600452,-47.4721189
Brazil,MG,Aimorés/MG,3101102,31040,Resplendor,69,2006,274.45209,7978.99845,0.0344,MS,2021-07-14,6,0,2021-07-14,-19.4917754,-41.0615603
Brazil,BA,Aiquara/BA,2900603,29015,Jequié,12,492,271.73913,11141.30435,0.02439,MS,2021-07-14,3,0,2021-07-14,-14.126918,-39.8887574
Brazil,CE,Aiuaba/CE,2300408,23014,14ª Região Tauá,11,799,62.8823,4567.5413,0.01377,MS,2021-07-14,4,0,2021-07-14,-6.5710836,-40.1212278
Brazil,MG,Aiuruoca/MG,3101201,31008,São Lourenço,9,310,150.60241,5187.41633,0.02903,MS,2021-07-14,1,0,2021-07-14,-21.9759554,-44.6036637
Brazil,RS,Ajuricaba/RS,4300208,43013,Região 13 - Diversidade,29,1046,415.05653,14970.6598,0.02772,MS,2021-07-14,1,0,2021-07-14,-28.239654,-53.7693013
Brazil,PB,Alagoa Grande/PB,2500304,25003,3ª Região,70,4082,246.14086,14353.52861,0.01715,MS,2021-07-14,13,0,2021-07-14,-7.0415212,-35.6285322
