type,name,lat,lon,total,total_per_100k_inhabitants
1,Abadia de Goiás/GO,-16.7572644,-49.4412205,1535,17135.52132
D1,Abadia de Goiás/GO,-16.7572644,-49.4412205,36,401.87542
1,Abadia dos Dourados/MG,-18.4911191,-47.4063589,456,6508.70682
D1,Abadia dos Dourados/MG,-18.4911191,-47.4063589,14,199.82872
1,Abadiânia/GO,-16.1940946,-48.7067767,451,2204.19334
D1,Abadiânia/GO,-16.1940946,-48.7067767,38,185.71917
1,Abaetetuba/PA,-1.721828,-48.878843,8895,5591.52628
D1,Abaetetuba/PA,-1.721828,-48.878843,219,137.66658
1,Abaeté/MG,-19.1566833,-45.4481213,1369,5888.17204
D1,Abaeté/MG,-19.1566833,-45.4481213,31,133.33333
1,Abaiara/CE,-7.3607808,-39.0487878,586,4943.89606
D1,Abaiara/CE,-7.3607808,-39.0487878,15,126.55024
1,Abaré/BA,-8.7239913,-39.1139689,984,4836.09377
D1,Abaré/BA,-8.7239913,-39.1139689,11,54.06202
1,Abatiá/PR,-23.3052967,-50.3102532,1077,14538.33693
D1,Abatiá/PR,-23.3052967,-50.3102532,18,242.98056
1,Abaíra/BA,-13.2503296,-41.6640342,289,3318.02526
D1,Abaíra/BA,-13.2503296,-41.6640342,12,137.77268
1,Abdon Batista/SC,-27.612419,-51.022992,425,16679.74882
D1,Abdon Batista/SC,-27.612419,-51.022992,4,156.98587
1,Abel Figueiredo/PA,-4.953001,-48.3958485,1007,13451.77665
D1,Abel Figueiredo/PA,-4.953001,-48.3958485,10,133.58269
1,Abelardo Luz/SC,-26.5705893,-52.3280339,1589,8847.43875
D1,Abelardo Luz/SC,-26.5705893,-52.3280339,57,317.37194
1,Abre Campo/MG,-20.2976097,-42.4764741,1217,9052.36537
D1,Abre Campo/MG,-20.2976097,-42.4764741,16,119.01220
1,Abreu e Lima/PE,-7.900719,-34.898389,3224,3212.88342
D1,Abreu e Lima/PE,-7.900719,-34.898389,231,230.20350
1,Abreulândia/TO,-9.6221526,-49.1558343,277,10678.48882
D1,Abreulândia/TO,-9.6221526,-49.1558343,6,231.30301
1,Acaiaca/MG,-20.3621646,-43.1444162,229,5733.60040
D1,Acaiaca/MG,-20.3621646,-43.1444162,11,275.41312
1,Acajutiba/BA,-11.6609659,-38.0186381,540,3555.67261
D1,Acajutiba/BA,-11.6609659,-38.0186381,17,111.93784
