ano,codmun6,uf,codmun7,município,espvida,fectot,mort1,mort5,razdep,sobre40,sobre60,t_env,e_anosestudo,t_analf11a14,t_analf15a17,t_analf15m,t_analf18a24,t_analf18m,t_analf25a29,t_analf25m,t_atraso_0_basico,t_atraso_0_fund,t_atraso_0_med,t_atraso_1_basico,t_atraso_1_fund,t_atraso_1_med,t_atraso_2_basico,t_atraso_2_fund,t_atraso_2_med,t_fbbas,t_fbfund,t_fbmed,t_fbpre,t_fbsuper,t_flbas,t_flfund,t_flmed,t_flpre,t_flsuper,t_freq0a3,t_freq11a14,t_freq15a17,t_freq18a24,t_freq25a29,t_freq4a5,t_freq4a6,t_freq5a6,t_freq6,t_freq6a14,t_freq6a17,t_freqfund1517,t_freqfund1824,t_freqfund45,t_freqmed1824,t_freqmed614,t_freqsuper1517,t_fund11a13,t_fund12a14,t_fund15a17,t_fund16a18,t_fund18a24,t_fund18m,t_fund25m,t_med18a20,t_med18a24,t_med18m,t_med19a21,t_med25m,t_super25m,corte1,corte2,corte3,corte4,corte9,gini,pind,pindcri,pmpob,pmpobcri,ppob,ppobcri,pren10ricos,pren20,pren20ricos,pren40,pren60,pren80,prentrab,r1040,r2040,rdpc,rdpc1,rdpc10,rdpc2,rdpc3,rdpc4,rdpc5,rdpct,rind,rmpob,rpob,theil,cpr,emp,p_agro,p_com,p_constr,p_extr,p_formal,p_fund,p_med,p_serv,p_siup,p_super,p_transf,ren0,ren1,ren2,ren3,ren5,renocup,t_ativ,t_ativ1014,t_ativ1517,t_ativ1824,t_ativ18m,t_ativ2529,t_des,t_des1014,t_des1517,t_des1824,t_des18m,t_des2529,theiltrab,trabcc,trabpub,trabsc,t_agua,t_banagua,t_dens,t_lixo,t_luz,agua_esgoto,parede,t_crifundin_todos,t_fora4a5,t_fora6a14,t_fundin_todos,t_fundin_todos_mmeio,t_fundin18minf,t_m10a14cf,t_m15a17cf,t_mulchefefif014,t_nestuda_ntrab_mmeio,t_ocupdesloc_1,t_rmaxidoso,t_sluz,homem0a4,homem10a14,homem15a19,homem20a24,homem25a29,homem30a34,homem35a39,homem40a44,homem45a49,homem50a54,homem55a59,homem5a9,homem60a64,homem65a69,homem70a74,homem75a79,homemtot,homens80,mulh0a4,mulh10a14,mulh15a19,mulh20a24,mulh25a29,mulh30a34,mulh35a39,mulh40a44,mulh45a49,mulh50a54,mulh55a59,mulh5a9,mulh60a64,mulh65a69,mulh70a74,mulh75a79,mulher80,mulhertot,pea,pea1014,pea1517,pea18m,peso1,peso1114,peso1113,peso1214,peso13,peso15,peso1517,peso1524,peso1618,peso18,peso1820,peso1824,peso1921,peso25,peso4,peso5,peso6,peso610,peso617,peso65,pesom1014,pesom1517,pesom15m,pesom25m,pesorur,pesotot,pesourb,pia,pia1014,pia1517,pia18m,pop,popt,i_escolaridade,i_freq_prop,idhm,idhm_e,idhm_l,idhm_r,lat,lon
2010,355030,35,3550308,SÃO PAULO,76.3,1.52,13.15,14.74,40.64,95.18,85.32,8.13,10.11,1.69,1.17,3.18,0.94,3.3,1.04,3.74,72.92,76.15,77.96,15.07,14.09,17.48,12.01,9.76,4.57,104.82,112.11,83.59,79.6,48.25,86.0,89.67,50.74,63.68,20.03,38.5,95.27,85.35,36.03,20.04,86.28,89.2,93.01,95.11,96.02,93.29,17.63,2.68,12.94,5.03,2.38,1.43,87.5,86.39,68.92,76.34,82.19,67.68,64.97,50.51,57.2,49.35,56.73,47.88,20.63,316.6,516.67,850.0,1700.0,3050.0,0.62,0.92,1.84,4.27,8.61,14.69,26.54,52.17,2.69,67.19,8.24,17.13,32.81,75.39,25.32,16.34,1516.21,204.1,7910.01,420.63,673.66,1189.16,5105.33,1517.04,37.5,96.12,174.23,0.72,19.07,2.54,0.33,16.01,5.39,0.07,71.87,74.63,56.9,57.07,0.68,23.44,11.36,1.33,8.58,52.49,67.53,80.23,2197.87,61.59,5.24,28.54,73.19,69.39,82.38,7.91,32.08,34.25,14.52,7.07,7.69,0.55,59.67,3.27,14.52,99.45,96.69,32.32,99.76,99.97,0.47,0.68,18.17,13.72,3.98,14.58,4.26,22.58,0.44,4.59,13.4,5.6,1.96,1.0,0.03,361709,438356,420552,489432,519694,481258,423024,385172,342042,301852,243863,385672,183012,127020,95214,64324,5328632,66436,349218,429074,421705,502227,554888,528818,465661,427807,400678,365806,304250,372607,240043,175318,142087,106645,138039,5924871,6026212,45447,144412,5836353,142819,688360,515828,515281,421276,8912895,505693,1833098,498886,8407202,523852,1327405,550248,7079797,146688,149757,146923,787281,1815171,914646,428988,252791,4771038,3847762,101159,11253503,11152344,9783868,867351,506046,8410471,11172609,11166543,0.677,0.75,0.805,0.725,0.855,0.843,-23.5506507,-46.6333824
2010,330455,33,3304557,RIO DE JANEIRO,75.69,1.56,13.02,14.65,42.61,92.95,83.1,10.46,9.39,1.66,1.13,2.88,1.04,2.98,1.23,3.31,56.72,60.48,62.84,25.26,24.86,28.37,18.03,14.65,8.79,106.1,114.16,83.2,76.13,46.72,88.44,92.27,46.91,58.49,20.3,33.92,95.99,86.55,38.17,18.16,88.0,90.98,95.5,96.82,96.89,94.2,26.0,2.67,22.34,7.99,1.63,0.99,85.32,86.62,60.08,72.79,82.27,72.19,70.49,45.91,55.67,53.99,54.73,53.7,21.26,299.67,509.67,854.5,1793.33,3280.0,0.62,1.25,2.81,5.01,10.95,16.41,30.81,50.63,2.52,66.97,7.85,16.6,33.03,67.34,25.82,17.0,1492.63,188.25,7557.73,397.27,653.51,1226.01,4975.91,1493.25,36.62,92.66,171.88,0.72,19.41,2.38,0.31,16.44,5.91,0.86,71.28,77.87,61.16,61.93,1.05,23.95,6.32,1.19,8.25,54.26,68.48,80.24,2084.44,56.97,3.54,16.7,62.54,64.47,79.31,7.73,33.47,30.71,17.12,7.25,9.11,0.55,56.1,7.07,14.1,99.02,97.39,28.11,99.17,99.97,0.3,0.52,18.03,12.0,3.11,13.68,4.75,19.97,0.56,5.99,12.02,6.64,1.58,1.17,0.03,184769,236743,233567,253163,269306,251573,221671,205798,200210,184247,152282,201020,118991,84926,66818,47096,2959817,47637,179263,229824,230583,255544,281797,272882,246860,233893,236586,225882,197393,194739,160131,121277,104035,82334,107606,3360629,3167735,16517,46265,3104953,72807,369534,276772,277424,216582,5090476,277985,972140,275422,4812491,285984,694155,294145,4118336,74523,77201,76513,415306,971579,661310,229735,137962,2755905,2269918,0,6320446,6320446,5559923,466608,277074,4816241,6265402,6262802,0.722,0.717,0.799,0.719,0.845,0.84,-22.9110137,-43.2093727
2010,292740,29,2927408,SALVADOR,75.1,1.53,14.92,12.03,36.61,96.68,89.89,6.14,9.16,2.6,1.66,3.97,1.32,4.12,1.57,4.69,55.54,60.75,67.02,20.33,20.74,24.4,24.13,18.51,8.58,109.5,120.69,79.01,89.06,41.06,87.39,91.39,37.91,61.14,17.05,29.47,95.34,85.87,38.44,18.14,88.52,90.33,92.91,93.97,95.85,93.17,34.46,4.77,22.87,8.9,1.51,0.81,83.01,84.79,50.24,61.21,78.22,69.72,67.99,41.77,53.18,52.43,51.26,52.28,14.59,199.75,339.71,533.33,1100.0,2064.64,0.63,3.97,7.32,11.35,20.47,30.24,47.25,52.14,2.48,67.54,7.87,16.76,32.46,73.87,26.51,17.23,973.0,120.43,5072.72,262.24,432.79,763.57,3296.1,973.97,36.8,85.1,159.19,0.74,18.61,1.87,0.62,17.3,8.73,0.57,67.16,75.35,59.02,57.37,1.13,16.71,6.31,1.3,15.87,68.2,78.96,87.45,1495.03,62.17,6.03,24.6,67.49,70.49,81.38,13.54,41.47,46.19,26.15,12.55,15.87,0.58,56.85,4.65,17.07,99.18,95.09,27.16,96.55,99.85,0.69,0.6,20.73,11.48,4.15,15.32,8.31,22.51,0.43,5.03,13.34,11.26,2.91,1.82,0.15,83611,105906,106749,120203,134453,122238,100370,91189,79823,67662,50628,90576,36021,22900,16287,10006,1248897,10275,81658,103013,109809,131349,151337,140966,117105,107458,96631,83172,64067,88037,47383,33970,26578,19077,25149,1426759,1449175,12593,31898,1404685,32836,165530,123726,123743,99681,2122477,129532,467932,130991,1992945,131806,338400,131626,1654545,32724,33798,34429,188135,440716,164225,102994,65246,1153896,912789,733,2675656,2674923,2331049,208698,129653,1992697,2650633,2647972,0.697,0.67,0.759,0.679,0.835,0.772,-12.9822499,-38.4812772
2010,530010,53,5300108,BRASÍLIA,77.35,1.75,14.01,15.85,40.14,94.57,86.19,4.97,9.87,1.1,0.8,3.47,0.8,3.66,1.19,4.31,64.3,68.14,68.25,19.4,18.06,24.12,16.29,13.8,7.63,102.04,109.37,80.71,77.57,56.88,89.92,93.76,52.08,61.5,24.55,23.19,96.93,88.43,39.01,18.87,80.67,85.94,92.46,96.23,97.54,95.21,22.05,2.01,14.99,6.25,1.6,1.83,88.32,89.43,66.32,77.99,83.34,72.32,69.85,53.48,60.54,56.34,60.71,55.4,23.95,299.67,525.0,999.5,2284.0,4033.33,0.63,1.19,2.24,4.93,9.36,16.0,27.07,49.26,2.22,67.2,6.98,15.39,32.8,76.63,28.23,19.22,1715.11,190.59,8448.81,408.03,721.27,1492.89,5751.61,1716.52,37.55,94.01,171.62,0.76,16.2,1.88,1.84,14.55,6.28,0.07,71.62,76.39,61.0,62.48,0.94,24.55,4.25,1.58,8.46,50.98,62.73,73.17,2581.69,64.58,4.89,28.01,71.79,74.34,84.14,8.58,33.4,38.64,16.92,7.58,8.86,0.63,52.08,13.9,14.77,98.13,96.01,23.48,98.87,99.91,0.72,1.35,17.14,19.33,2.46,12.35,5.0,18.69,0.3,4.92,14.7,5.13,1.4,0.71,0.09,95938,110597,108791,120373,127512,118507,100047,88786,72525,55965,43033,101824,30889,21160,15759,8885,1228880,8289,93142,108112,111954,125420,140920,134291,112672,98974,84568,67172,52544,98880,39078,26915,19893,12412,14333,1341280,1408410,10706,36652,1361053,37717,173459,130109,129984,112131,1961144,131544,466336,130855,1829600,135676,334792,138985,1494808,39200,39609,39188,206258,467958,127625,108090,66585,1040869,803625,87950,2570160,2482210,2180903,219091,130872,1830940,2543802,2541714,0.723,0.751,0.824,0.742,0.873,0.863,-15.7934036,-47.8823172
2010,230440,23,2304400,FORTALEZA,74.41,1.62,15.76,16.9,41.16,96.48,88.99,6.58,10.04,3.21,2.19,6.94,2.01,7.3,2.63,8.57,65.14,70.34,71.71,17.68,16.44,21.41,17.18,13.22,6.88,103.47,113.49,77.44,91.25,34.4,87.71,91.74,45.84,65.26,16.28,28.36,95.14,84.35,33.49,16.14,90.39,92.75,95.86,97.43,96.11,92.84,26.34,2.81,21.23,7.37,1.94,0.97,84.8,85.86,59.54,70.73,79.97,65.83,62.43,45.42,53.51,47.4,53.1,45.93,13.73,183.33,306.0,500.0,940.0,1770.0,0.61,3.36,5.73,12.14,21.32,32.88,49.93,51.61,2.83,66.6,8.64,17.92,33.4,75.46,23.9,15.44,846.36,119.82,4368.41,245.77,392.57,655.16,2822.45,847.35,39.42,91.58,160.97,0.69,20.83,1.83,0.8,20.23,6.23,0.14,59.1,72.03,53.78,51.55,0.98,14.79,13.8,1.35,17.87,72.41,81.97,89.51,1356.23,58.33,5.04,22.22,65.77,67.39,78.45,8.12,18.92,29.24,17.27,7.49,8.67,0.56,49.19,4.85,22.39,98.7,95.16,31.46,98.59,99.75,1.11,0.28,21.96,9.61,3.89,16.14,9.43,27.17,0.47,6.42,16.82,11.48,2.23,2.15,0.25,86157,105161,109550,120603,114789,98011,84473,80300,70819,53757,41265,89624,32432,22115,16615,10210,1147918,12037,82657,103344,114603,131695,127373,111471,99265,95071,85295,68035,54353,86739,43956,31736,26272,17459,24943,1304267,1228559,10509,29970,1188080,33298,166512,123001,127109,101424,1897448,135412,476165,136540,1762036,135598,340753,138832,1421283,33985,34579,34395,183462,440339,161310,103255,69059,1030965,784814,0,2452185,2452185,2106309,208505,134848,1762956,2427422,2424565,0.658,0.714,0.754,0.695,0.824,0.749,-3.7304512,-38.5217989
2010,310620,31,3106200,Belo Horizonte,76.37,1.33,12.95,15.15,38.15,94.33,84.33,8.67,9.87,1.12,0.85,2.87,0.62,2.99,0.68,3.45,65.27,69.13,72.59,19.96,18.93,21.3,14.77,11.93,6.11,102.29,111.62,77.13,83.26,56.19,88.72,92.97,50.54,62.44,25.93,34.67,96.71,87.8,38.97,20.27,85.17,89.22,93.68,97.33,97.63,94.97,22.64,1.83,13.56,5.52,1.51,1.01,90.01,89.2,65.35,76.59,85.6,70.15,67.17,52.84,62.19,54.16,60.95,52.6,22.93,332.5,532.5,899.67,1875.0,3316.67,0.6,0.79,1.94,3.8,8.78,13.89,27.04,48.33,2.85,65.0,8.64,17.87,35.0,71.85,22.38,15.04,1497.29,213.5,7236.63,433.33,690.65,1283.14,4865.0,1497.46,37.31,98.26,177.56,0.66,20.31,2.76,0.49,15.92,7.02,0.65,74.62,75.98,60.05,59.26,1.01,24.48,9.15,1.04,7.76,55.15,68.81,80.87,2034.94,63.37,4.82,29.69,72.33,70.87,86.18,6.9,28.35,34.7,12.94,6.07,6.92,0.55,57.44,6.75,11.91,99.7,98.33,17.01,99.46,99.97,0.15,0.15,17.92,14.83,2.37,13.29,4.37,19.7,0.28,4.53,11.03,4.8,1.01,1.02,0.03,67689,86338,90895,106240,110707,102211,84424,78564,75266,66370,52018,73647,39958,28991,21442,14504,1113513,14249,65522,85153,91815,112538,120055,111603,94405,90757,89662,81578,66901,71221,53230,40022,31962,23814,31400,1261638,1328728,8270,31709,1288749,26764,136639,101944,102893,79046,1922188,106485,400594,107820,1815703,116934,294109,122921,1521594,27168,27528,27738,151596,359151,205994,84990,53340,1038033,834073,0,2375151,2375151,2096677,171491,106805,1818380,2356435,2356178,0.702,0.755,0.81,0.737,0.856,0.841,-19.9227318,-43.9450948
2010,130260,13,1302603,MANAUS,74.54,2.06,14.24,15.2,47.41,96.68,89.15,3.88,9.51,2.79,1.38,3.78,1.13,4.0,1.37,4.76,60.17,65.74,66.29,20.28,19.88,23.75,19.55,14.38,9.96,104.12,114.12,75.17,55.55,39.71,85.17,89.26,37.95,43.28,15.59,13.11,94.09,83.59,38.15,20.59,73.97,79.19,85.57,90.41,94.16,91.45,30.79,4.56,27.49,9.3,1.58,1.09,83.69,83.15,51.23,61.63,76.12,67.93,65.76,38.76,48.47,49.57,46.87,49.86,10.97,180.0,300.0,486.67,850.0,1490.0,0.61,3.75,6.15,12.9,20.63,33.5,47.27,51.34,2.89,65.35,8.99,18.67,34.65,80.23,22.86,14.55,790.27,114.35,4057.61,240.72,382.49,631.4,2582.98,792.86,36.21,88.06,157.5,0.68,20.52,1.32,1.31,18.1,7.68,0.35,61.26,73.05,56.21,47.54,0.83,12.46,16.37,2.12,13.26,66.95,80.02,89.47,1454.02,57.59,6.2,22.87,63.16,68.56,74.89,11.59,28.08,33.39,20.52,10.7,12.73,0.49,50.76,7.09,18.87,89.65,83.55,50.19,98.29,99.63,6.45,2.94,18.43,26.03,5.84,14.01,8.17,25.2,1.11,9.77,20.34,11.28,3.26,1.64,0.37,82548,90583,85459,88051,89991,81086,67048,56625,45309,35802,25738,84622,17532,11484,7964,4894,879742,5006,79972,89948,90056,92632,95173,86810,71694,58283,47683,38942,28589,81289,20521,14158,10483,7254,8785,922272,849048,11194,24652,813203,33662,142248,106137,106570,95985,1289639,107661,355222,106588,1181978,101875,247561,101051,934417,32658,33454,32408,170364,385150,69905,89844,55010,669955,487566,9133,1802014,1792881,1474404,180531,107794,1186079,1793443,1787596,0.679,0.648,0.737,0.658,0.826,0.738,-3.1316333,-59.9825041
2010,410690,41,4106902,CURITIBA,76.3,1.58,11.91,13.58,37.98,94.69,85.96,7.54,10.95,0.88,0.6,2.13,0.47,2.22,0.51,2.56,75.46,78.03,81.17,12.08,11.24,14.52,12.46,10.73,4.32,100.59,106.4,84.78,64.99,58.71,88.11,90.58,53.96,50.02,28.6,39.48,96.41,84.54,40.46,19.36,83.62,88.57,94.44,98.42,97.57,94.07,16.16,1.52,19.58,4.44,4.14,3.31,89.06,89.24,71.63,79.25,86.13,73.96,71.58,57.79,64.51,57.35,62.46,55.95,25.95,424.0,675.0,1060.0,1994.25,3250.0,0.55,0.48,0.98,1.73,3.54,7.86,15.15,44.54,3.54,60.64,10.45,21.26,39.36,74.85,17.04,11.41,1581.04,279.87,7041.21,546.57,854.54,1430.78,4715.18,1581.33,38.85,91.73,182.34,0.55,20.29,4.13,0.8,16.97,5.83,0.36,74.49,79.65,63.15,53.68,1.24,27.32,12.98,1.45,7.6,46.23,63.95,78.97,2168.38,65.2,5.83,33.51,74.35,72.99,86.92,5.17,21.52,25.66,10.18,4.46,4.99,0.47,58.6,5.26,10.54,99.82,98.73,13.3,99.89,99.98,0.09,1.35,13.35,16.38,2.43,11.32,2.63,17.31,0.28,4.18,8.97,2.88,0.46,0.66,0.02,54642,66150,70051,78657,81266,75240,66109,61693,56039,48048,39047,57263,28967,19615,14126,9364,835115,8838,53277,63843,69461,79897,84484,79990,71894,68688,66648,58683,47963,54785,36826,26345,20330,15272,18406,916792,998790,7585,27108,964096,22238,103945,76845,78817,63883,1401324,81547,297995,82326,1319777,88798,216448,91602,1103329,21774,21934,21540,116109,274610,132165,63830,40474,744563,595238,0,1751907,1751907,1531838,130148,80886,1320804,1740948,1740627,0.74,0.782,0.823,0.768,0.855,0.85,-25.4295963,-49.2712724
2010,261160,26,2611606,RECIFE,74.5,1.35,15.56,12.54,41.0,96.43,89.01,8.14,9.53,3.05,2.4,7.13,2.18,7.44,2.84,8.49,59.87,63.24,72.21,21.14,21.9,20.69,18.99,14.86,7.1,107.33,115.92,83.61,94.39,43.71,89.01,92.12,45.68,63.59,19.82,35.56,96.26,87.39,38.94,18.58,90.91,92.65,95.26,96.17,97.05,94.48,28.16,3.52,24.59,8.26,2.39,1.55,86.1,87.06,58.51,69.05,78.36,66.35,63.94,46.66,54.15,50.38,54.26,49.62,19.11,176.5,317.14,518.67,1250.0,2525.0,0.68,4.77,8.98,13.2,24.15,32.91,51.22,56.83,1.91,72.53,6.19,13.46,27.47,67.34,36.74,23.53,1144.26,109.26,6503.22,244.75,415.89,801.93,4165.13,1145.56,36.17,82.63,153.35,0.91,19.97,2.78,0.66,19.36,5.65,0.13,64.69,74.02,59.14,59.59,1.45,22.66,6.6,1.13,17.24,66.07,75.63,84.02,1754.41,56.82,3.93,20.02,63.6,64.78,79.56,12.93,36.93,46.31,26.1,12.11,13.96,0.68,51.19,7.43,17.74,97.45,93.42,25.78,97.67,99.92,2.52,1.38,22.68,9.09,2.95,16.67,9.87,26.79,0.6,6.28,13.47,12.63,1.71,2.7,0.08,49129,60882,62620,67534,66963,60573,54799,51214,46608,39488,29759,53570,23054,15661,11768,7586,709819,8611,47717,59217,62954,72360,74189,69801,64814,61179,57606,50280,41317,51407,33517,25268,21142,14775,20342,827885,759234,4720,14898,739616,19132,95330,70865,71816,57632,1214873,75260,265253,75194,1139613,76907,189993,79608,949620,20015,20415,20061,109164,254935,125099,59172,37525,668996,533805,0,1537704,1537704,1336198,120099,74398,1141700,1524313,1522583,0.664,0.716,0.772,0.698,0.825,0.798,-8.0641931,-34.8781517
2010,431490,43,4314902,PORTO ALEGRE,76.42,1.54,11.6,13.09,41.29,95.14,85.99,10.47,9.76,1.37,1.06,2.27,0.83,2.34,0.88,2.6,61.85,65.5,72.13,19.59,19.63,21.26,18.56,14.86,6.6,101.07,110.81,73.58,47.13,64.55,88.12,92.0,44.02,38.74,25.26,30.52,96.55,84.12,39.68,22.28,60.19,70.21,77.71,90.63,96.63,93.36,26.66,2.57,6.34,5.49,2.3,2.17,86.84,87.66,59.3,70.74,82.26,74.78,73.47,48.18,56.9,57.63,54.76,57.76,25.93,350.0,627.75,1100.0,2265.0,3900.0,0.6,0.92,2.56,3.82,9.7,12.51,27.68,47.74,2.52,64.31,8.07,17.67,35.69,69.78,23.68,15.97,1758.27,221.59,8394.81,487.45,844.62,1584.11,5660.55,1758.86,38.73,93.25,170.73,0.69,21.62,3.76,0.72,15.99,5.98,0.1,73.48,80.76,64.53,63.04,1.13,27.81,6.25,1.13,8.66,48.98,63.6,76.78,2349.73,62.02,3.98,28.96,70.96,69.24,85.47,5.78,33.85,28.07,12.14,5.12,6.34,0.56,53.16,7.42,13.08,99.55,97.39,19.0,99.64,99.91,0.38,2.52,18.31,39.81,3.37,12.95,4.51,17.34,0.14,5.86,12.53,4.93,0.59,0.77,0.09,39861,51116,51764,58136,63349,56102,46478,42663,44652,41653,34732,43296,26832,19073,14032,9998,653787,10050,38765,49744,51648,59809,66970,61131,50968,49677,54809,52697,45948,41487,37468,28251,22920,18627,24645,755564,772955,4019,17353,751582,16236,79745,59187,59879,46435,1144434,60897,221205,60414,1083537,64994,160308,67464,923229,15903,16255,16337,89493,210274,147536,49697,30261,625235,513855,0,1409351,1409351,1246317,100860,59918,1085538,1394270,1393799,0.748,0.68,0.805,0.702,0.857,0.867,-30.0324999,-51.2303767
