ano;codmun6;uf;codmun7;município;espvida;fectot;mort1;mort5;razdep;sobre40;sobre60;t_env;e_anosestudo;t_analf11a14;t_analf15a17;t_analf15m;t_analf18a24;t_analf18m;t_analf25a29;t_analf25m;t_atraso_0_basico;t_atraso_0_fund;t_atraso_0_med;t_atraso_1_basico;t_atraso_1_fund;t_atraso_1_med;t_atraso_2_basico;t_atraso_2_fund;t_atraso_2_med;t_fbbas;t_fbfund;t_fbmed;t_fbpre;t_fbsuper;t_flbas;t_flfund;t_flmed;t_flpre;t_flsuper;t_freq0a3;t_freq11a14;t_freq15a17;t_freq18a24;t_freq25a29;t_freq4a5;t_freq4a6;t_freq5a6;t_freq6;t_freq6a14;t_freq6a17;t_freqfund1517;t_freqfund1824;t_freqfund45;t_freqmed1824;t_freqmed614;t_freqsuper1517;t_fund11a13;t_fund12a14;t_fund15a17;t_fund16a18;t_fund18a24;t_fund18m;t_fund25m;t_med18a20;t_med18a24;t_med18m;t_med19a21;t_med25m;t_super25m;corte1;corte2;corte3;corte4;corte9;gini;pind;pindcri;pmpob;pmpobcri;ppob;ppobcri;pren10ricos;pren20;pren20ricos;pren40;pren60;pren80;prentrab;r1040;r2040;rdpc;rdpc1;rdpc10;rdpc2;rdpc3;rdpc4;rdpc5;rdpct;rind;rmpob;rpob;theil;cpr;emp;p_agro;p_com;p_constr;p_extr;p_formal;p_fund;p_med;p_serv;p_siup;p_super;p_transf;ren0;ren1;ren2;ren3;ren5;renocup;t_ativ;t_ativ1014;t_ativ1517;t_ativ1824;t_ativ18m;t_ativ2529;t_des;t_des1014;t_des1517;t_des1824;t_des18m;t_des2529;theiltrab;trabcc;trabpub;trabsc;t_agua;t_banagua;t_dens;t_lixo;t_luz;agua_esgoto;parede;t_crifundin_todos;t_fora4a5;t_fora6a14;t_fundin_todos;t_fundin_todos_mmeio;t_fundin18minf;t_m10a14cf;t_m15a17cf;t_mulchefefif014;t_nestuda_ntrab_mmeio;t_ocupdesloc_1;t_rmaxidoso;t_sluz;homem0a4;homem10a14;homem15a19;homem20a24;homem25a29;homem30a34;homem35a39;homem40a44;homem45a49;homem50a54;homem55a59;homem5a9;homem60a64;homem65a69;homem70a74;homem75a79;homemtot;homens80;mulh0a4;mulh10a14;mulh15a19;mulh20a24;mulh25a29;mulh30a34;mulh35a39;mulh40a44;mulh45a49;mulh50a54;mulh55a59;mulh5a9;mulh60a64;mulh65a69;mulh70a74;mulh75a79;mulher80;mulhertot;pea;pea1014;pea1517;pea18m;peso1;peso1114;peso1113;peso1214;peso13;peso15;peso1517;peso1524;peso1618;peso18;peso1820;peso1824;peso1921;peso25;peso4;peso5;peso6;peso610;peso617;peso65;pesom1014;pesom1517;pesom15m;pesom25m;pesorur;pesotot;pesourb;pia;pia1014;pia1517;pia18m;pop;popt;i_escolaridade;i_freq_prop;idhm;idhm_e;idhm_l;idhm_r;lat;lon
2010;350010;35;3500105;ADAMANTINA;76.13;1.4;12;13.92;42.86;94.72;85.06;12.61;10.39;0.96;0.93;6.14;0.73;6.44;0.97;7.42;79.36;80.75;83.53;12.11;11.46;13.65;8.53;7.79;2.82;90.56;98.24;72.68;90.83;41.34;85.97;91.93;57.34;80.84;24.84;31.76;96.79;80.66;29.33;8.8;89.34;90.24;91.95;92.66;97.55;92.48;8.42;0.24;3.6;3.32;2.72;3.56;92.91;95.25;77.86;85.86;89.36;60.79;55.88;70.3;70.57;46.11;71.85;41.9;16.49;335;509;685;1085;1800;0.51;0.5;1.22;2.57;6.66;11.34;25.23;43.03;4.79;57.23;13.4;25.24;42.77;68.1;12.85;8.55;975.43;233.59;4197.1;419.87;577.77;854.6;2795.03;975.43;55.26;106.31;184.73;0.45;18.74;4.17;7.05;19.01;6.5;0.12;72.97;71.94;55.53;47.89;0.59;19.67;16.83;2.16;14.04;68.4;80.89;91.51;1340.39;59.22;3.55;34.82;76.8;65.35;88.08;6.27;34.7;23.17;13.23;5.61;7.76;0.43;55.89;3.82;15.18;99.54;99.7;9.84;100;99.97;0;1.11;13.05;10.66;2.45;16.53;3.64;28.21;0;3.99;4.1;3.1;0.26;0.79;0.03;876;1162;1382;1350;1247;1185;1119;1233;1199;1079;917;987;779;583;535;378;16374;363;819;1060;1291;1410;1245;1206;1254;1325;1339;1211;1049;919;879;744;629;520;523;17423;17866;79;544;17243;343;1775;1329;1343;1001;27755;1499;5344;1519;26256;1629;3845;1671;22411;348;429;356;1910;4710;4263;1057;736;14562;11867;1849;33797;31948;30169;2222;1563;26384;33490;33490;608;833;0.79;0.75;852;772;-21.6866517;-51.0762975
2010;350020;35;3500204;ADOLFO;75.62;1.81;13.8;15.98;42.22;94.76;84.2;10.57;10.13;0;1.23;8.13;0.76;8.55;1.92;9.87;75.75;79.35;71.91;13.28;9.47;28.09;10.96;11.18;0;120.53;138.72;68.07;60.43;25.66;85.03;92.45;49.8;52.6;18.89;38.46;100;85.06;31.38;18.58;100;100;100;100;98.72;95.2;11.03;3.58;25.31;3.51;0.96;0;94.92;95.21;63.31;63.16;77.25;43.89;38.1;56.85;46.47;24.3;63.39;20.45;6.82;295.63;450;585;822.5;1056.67;0.38;1.31;1.83;3.43;5.72;13.36;24.74;30.76;6.32;45.15;17.77;33.48;54.85;74.95;6.92;5.09;661.65;209.11;2035.12;378.77;519.68;707.03;1497.34;661.65;40.35;91.83;176.66;0.27;17.44;0.76;31.35;8.82;4.98;1.71;69.81;53.07;30.92;34.78;0.19;9.91;12.68;2.51;13.34;71.19;88.66;96.31;1033.61;57.34;4.49;32.21;72.42;63.67;77.04;6.47;0;26.65;18.42;5.94;2.57;0.23;60.47;1.91;17.75;97.75;99.69;8.03;99.9;100;0;0;20.89;0;1.28;28.55;4.38;37.1;0;7.01;10.74;5.6;0.35;1.25;0;106;132;127;144;127;121;129;122;139;128;107;133;87;70;55;28;1787;32;88;123;141;144;133;118;122;143;130;138;99;98;102;57;57;37;40;1770;1798;11;49;1738;32;191;142;138;121;2877;162;556;152;2715;154;394;177;2321;41;52;45;243;545;376;123;91;1461;1176;357;3557;3200;3136;255;152;2729;3557;3557;439;788;0.73;648;844;0.71;-21.2356597;-49.6441918
2010;350030;35;3500303;AGUAÍ;76.49;2.14;12.5;14.5;43.68;95.22;85.44;7.81;8.57;2.58;1.91;7.73;2.14;8.17;3.25;9.43;58.46;58.74;77.35;20.43;21.23;16.7;21.12;20.03;5.94;96.46;107.61;66.06;61.2;16.93;86.49;92.61;46.27;53.16;9.85;9.06;93.78;79.88;21.18;7.21;84.32;87.91;97.38;95.14;95.79;91.52;19.24;0.72;25.41;6.18;1.58;0.93;81.73;84.8;60.93;74.21;69.8;46.66;41.75;35.91;39.45;27.32;37.47;24.75;7.65;236.67;363;506.67;737.5;1028.57;0.47;1.03;1.96;6.89;14.89;23.68;42.53;39.07;4.97;52.88;14.48;28.28;47.12;74.27;10.79;7.3;636.07;158.11;2485.19;302.43;438.88;599.27;1680.57;636.07;42.34;100.66;172.49;0.39;17.37;1.63;27.26;15.25;6.19;0.26;67.99;53.53;32.32;29.76;0.53;8.79;14.95;3.14;18.1;77.61;88.19;95.37;1014.85;58.86;6.95;33.44;80.03;66.65;81.37;7.09;19.83;24.81;11.88;6.3;8.4;0.32;57.79;1.61;19.55;98.9;98.31;25.98;99.55;100;0.54;0.48;30.31;15.68;4.21;28.26;10.32;35.92;0;8.68;12.32;7.74;1.11;0.72;0;1170;1391;1471;1533;1540;1342;1095;1081;1040;933;736;1146;620;382;313;217;16217;207;1127;1271;1369;1370;1441;1197;1145;1090;1003;947;777;1156;645;407;379;292;315;15931;16218;185;562;15470;435;2096;1554;1565;1366;24887;1727;5743;1678;23160;1699;4016;1777;19144;496;462;423;2406;5641;2512;1271;821;12377;9638;3147;32148;29001;27555;2662;1681;23212;32089;32089;467;0.69;715;606;858;703;-22.0592036;-46.979384
2010;350040;35;3500402;ÁGUAS DA PRATA;78.13;1.81;9.6;11.13;46.28;95.76;87.75;13.49;9.4;0.75;0.28;6.04;0.37;6.4;1.29;7.37;71.13;68.19;91.23;12.39;13.44;8.77;16.49;18.37;0;94.87;103.1;73.57;77.12;18.86;90.1;95.28;60.78;67.08;12.29;14.9;97.43;79.47;17.51;5.76;84.16;88.33;96.36;100;98.8;93.42;9.58;1.06;14.21;1.79;2.45;2.27;88.45;90.95;78.74;84.05;85.96;55.37;50.27;61.86;65.55;39.22;62.77;34.82;13.14;283.33;442.86;585;902;1300;0.52;0.6;1.29;3.56;8.19;18.43;38.78;45.34;4.36;57.86;12.94;24.96;42.14;65.26;14.01;9.03;853.39;186.22;3869.03;365.96;513.01;732.83;2492.73;853.39;56.45;106.9;179.27;0.49;21.09;2.15;20.48;13.63;8.79;0.09;61.47;61.9;44.13;43.52;0.46;13.3;8.88;1.52;13.93;77.48;88.97;95.14;1140.69;59.41;4.44;33.02;81.95;65.66;88.11;7.09;30.82;22.86;10.77;6.5;7.94;0.4;49.66;4.06;21.67;97.13;98.22;20.05;99.43;100;0.77;0;17.61;15.84;1.2;19.01;5.65;32.31;0;0;19.54;6.16;0.18;1.67;0;201;270;306;304;270;247;264;263;267;270;218;224;179;143;123;101;3747;97;214;240;276;288;277;255;262;256;305;256;225;222;191;161;146;114;149;3837;3997;23;110;3865;89;401;294;297;237;6155;357;1164;354;5798;329;807;339;4991;82;92;75;451;1079;1023;238;162;3136;2577;813;7584;6771;6728;510;332;5886;7510;7510;554;814;781;716;886;0.75;-21.9464285;-46.7192121
2010;350050;35;3500501;ÁGUAS DE LINDÓIA;75.76;1.52;12.5;14.5;44.06;94.51;84.54;10.77;9.92;1.24;0.5;5.96;1.18;6.29;1.63;7.15;74.84;78.15;72.88;14.55;12.67;21.73;10.61;9.18;5.38;91.42;98.65;71.24;89.02;20.7;85.66;91.5;51.42;71.59;11.13;31.47;94.15;75.37;17.75;6.04;87.47;92.06;96.71;98.54;96.26;90.76;11.97;0.52;9.79;4.34;2.14;0.7;88.83;90.6;73.52;84.4;82.68;50.99;45.63;51.46;55.45;33.17;56.21;29.4;10.74;299.75;433.33;600;900;1345;0.43;0.07;0.17;2.38;3.41;16.44;27.16;35.15;5.68;49.97;15.69;29.79;50.03;70.43;8.96;6.43;730.13;207.45;2566.13;365.23;514.93;738.66;1841.46;730.13;50;106.42;195.2;0.32;20.43;3.84;7.74;15.15;6.96;0.45;68.64;57.59;39.29;46.11;0.79;11;19.96;1.53;9.81;75.94;88.42;95.75;1010.56;59.58;7.52;49.69;77.77;65.5;80.22;4.28;22.11;13.67;7.44;3.65;2.54;0.22;54.55;3.1;16.8;98.11;98;20.62;99.12;100;0.98;1.13;26.22;12.53;3.74;24.12;6.9;32.57;0;5.64;13.21;8.05;0;2.43;0;514;698;638;693;735;692;618;595;569;512;420;571;365;256;231;176;8457;174;483;637;678;661;740;715;641;683;596;551;492;518;391;302;263;195;263;8809;9038;100;388;8550;207;1048;770;819;586;13845;798;2670;778;13047;779;1872;778;11175;204;210;236;1166;2750;1860;637;407;7171;5832;155;17266;17111;15170;1335;781;13053;17120;17120;0.51;776;745;675;846;725;-22.4718855;-46.6291034
2010;350055;35;3500550;ÁGUAS DE SANTA BÁRBARA;75.41;2.28;13;15.08;48.27;94.31;84.03;10;9.17;0.48;0.74;5.16;1.57;5.46;2.11;6.1;70.94;72.23;83.95;14.01;13.4;14.71;15.05;14.37;1.35;94.3;103.36;67.16;98.75;24.01;87;93.09;49.87;73.37;8.99;30.38;97.79;78.87;20.57;8.12;91.72;94.39;100;100;98.18;93.35;15.58;0.68;9.66;6.36;1.11;0;91.12;84.21;71.98;78.33;84.27;55.45;50.74;48.17;54.4;36.21;57.37;33.23;12.5;260.4;437.5;630;1080;1765;0.48;1.44;1.93;4.79;9.86;19.35;36.72;37.79;4.48;54.08;13.15;25.96;45.92;71.17;11.5;8.21;818.15;183.19;3091.47;354.55;524.09;816.64;2207.13;820.08;18.04;91.17;180.44;0.41;17.11;1.84;23.21;10.35;6.25;0.73;66.57;63.83;42.86;45.46;0.21;14.06;9.51;1.21;12.24;64.54;80.39;90.76;1241.01;55.41;0.38;25.78;73.92;64.42;86.16;3.11;100;27.75;4.71;2.35;6.01;0.31;55.32;5.81;18.75;91.34;97.45;17.82;100;99.94;1.56;2.67;21.21;8.28;1.82;22.15;6.79;31.5;1.4;6.92;11.81;5.64;0;0.26;0.06;191;248;233;195;211;188;208;205;164;190;142;199;139;95;60;55;2779;56;178;262;213;207;218;209;207;193;202;156;161;186;135;85;86;57;67;2822;2675;2;72;2601;72;415;295;313;223;4322;272;846;270;4050;264;574;258;3476;73;59;71;414;1009;560;261;135;2189;1769;1342;5601;4259;4828;510;280;4038;5583;5570;555;778;757;695;0.84;744;-22.8821912;-49.2383956
2010;350060;35;3500600;ÁGUAS DE SÃO PEDRO;78.37;1.32;9.3;10.79;52.77;95.88;88.06;18.58;10.83;0;0.84;1.45;0.43;1.48;1.16;1.61;70.32;74.51;70.47;20.21;16.64;25.19;9.46;8.85;4.34;94.3;103.61;75.06;111.85;64.42;92.01;97.25;65.63;79.93;22.27;59.63;100;94.08;29.4;16.24;91.24;95.5;100;100;98.43;97.01;13.13;0;0;2.88;1.18;0;96.67;100;74.17;89.64;96.01;75.07;72.83;74.64;78.73;63.27;93.3;61.62;30.38;470;745;1087;1922.5;3000;0.54;0.24;0;0.8;0.67;8.43;16.37;44.98;3.85;59.74;11.42;22.8;40.26;54.94;15.75;10.31;1580.72;304.27;7110;598.42;899.44;1379.8;4652.07;1580.72;50;84.78;206.65;0.52;31.74;3.25;2.22;12.07;3.48;0;68.33;78.45;66.96;70.37;0.49;29.43;5.98;1.89;8.8;48.58;66.99;83.18;1834.89;57.72;5.94;30.81;79.53;64.01;86.54;7.78;26.67;30.94;17.43;6.85;1.95;0.41;47.88;4.21;11.22;100;100;8.92;100;100;0;0;14.42;8.76;1.57;11.04;2.06;17.09;0;2.29;7.7;3.56;0;0.55;0;62;90;99;75;88;97;89;80;87;70;69;67;75;61;57;44;1262;52;54;90;102;75;85;89;92;113;109;98;85;69;95;90;69;51;79;1445;1409;11;45;1353;20;150;108;117;71;2275;119;351;122;2156;105;232;88;1924;25;18;28;148;370;503;90;61;1232;1055;0;2707;2707;2441;180;148;2113;2680;2680;751;864;854;825;0.89;849;-22.6000681;-47.8750887
2010;350070;35;3500709;AGUDOS;75.67;1.8;13.7;15.88;43.38;94.79;84.28;7.73;10.03;1.48;0.62;5.21;0.99;5.57;1.37;6.51;71.56;74.57;80.84;17.57;16.88;19.16;10.88;8.54;0;94.09;107.31;61.51;115.24;23.92;86.06;92.5;49.2;79.48;10.91;36.11;96.8;89.24;21.56;11.71;97.99;98.68;100;100;97.9;95.4;17.42;1.51;5.29;3.58;1.45;1.55;91.24;89.75;70.44;78.14;83.44;56.62;51.27;46.03;52.13;35.98;53.21;32.76;8.09;255;402.5;587.67;840;1259;0.41;1.99;3.3;6.61;11.28;20.07;32.66;31.5;5.22;47.31;15.43;30.91;52.69;75.38;8.16;6.11;642.59;167.6;2023.94;328.31;497.25;699.73;1515.19;643.11;40.57;93.1;167.6;0.31;14.66;0.83;9.85;13.94;7.39;0.05;76.05;66.87;43.8;45.94;0.75;9.81;15.56;1.5;12.33;71.91;86.45;95.89;1007.15;60.18;5.17;34.85;79.95;68.93;80.87;8.27;44.65;21.84;13.26;7.37;7.01;0.21;67.84;2.49;12.8;98.81;99.03;24.72;99.66;100;0.1;1.6;19.95;2.01;2.1;18.5;7.4;29.06;0;4.29;16.41;6.83;0.68;1.96;0;1177;1545;1584;1525;1500;1389;1289;1157;1091;947;853;1242;590;445;337;200;17076;205;1168;1443;1507;1551;1491;1436;1332;1193;1103;1041;839;1201;660;484;392;275;332;17448;17914;154;715;17044;459;2425;1799;1830;1403;26748;1927;6167;1825;24821;1750;4240;1774;20581;483;469;438;2537;6243;2670;1443;922;13636;10578;1531;34524;32993;29766;2988;2052;24726;34140;34113;566;769;745;694;845;705;-22.471162;-48.987822
2010;350075;35;3500758;ALAMBARI;73.27;2.19;17.5;20.3;49.56;93.41;80.68;7.86;10.52;1.31;0.39;6.59;1.2;7.06;0.68;8.28;72.65;74.06;83.49;16.24;16.61;13.22;11.12;9.33;3.29;101.46;104.82;89.41;61.78;11.93;94.57;95.52;60.89;51.75;9.85;16.99;99.51;85.8;17.26;1.6;70;77.84;92.27;94.2;99.25;96.32;19.74;0;18.25;6.02;2.93;1.08;96.17;96.34;76.2;85.07;80.46;46.78;39.38;47.7;50.66;25.88;57.21;20.43;4.36;225.6;335;444.33;706;1050;0.44;1.75;2.17;7.61;12.62;25.89;40.04;35.66;5.49;50.74;15.67;29.47;49.26;73.04;9.1;6.52;556.36;152.68;1983.81;283.24;383.74;550.57;1420.9;556.36;48.46;96.46;173.23;0.33;16.54;0.8;24.45;9.7;16.69;0.16;68.09;54.05;31.54;34.63;0.58;5.94;9.91;3.06;15.09;77.77;89.95;95.77;947.26;56.26;2.79;40.04;77.3;64.65;78.27;8.84;22.81;30.12;13.47;7.89;9.37;0.26;50.85;11;17.74;97.77;99.12;24.13;100;100;0.7;0.36;26.44;30;0.75;25.33;8.96;36.61;0;3.37;12.19;8.6;0.27;1.43;0;180;235;227;221;212;203;146;156;136;135;114;187;104;80;45;33;2456;42;179;236;189;208;234;186;169;149;137;140;118;216;83;55;53;38;38;2428;2326;13;90;2222;61;381;282;287;212;3643;259;842;236;3384;245;583;257;2801;84;61;82;432;995;384;236;124;1794;1399;1212;4884;3672;4134;471;226;3437;4863;4863;468;781;712;658;805;682;-23.550338;-47.897971
2010;350080;35;3500808;ALFREDO MARCONDES;75.41;1.64;14.1;16.33;47.61;94.65;83.9;14.93;11.04;0.98;1.13;10.13;1.42;10.66;1.2;12.15;81.28;78.36;92.5;13.33;14.89;7.5;5.39;6.75;0;91.59;96;81.44;87.79;29.14;89.22;93.27;66.16;87.79;23.77;17.31;98.14;84.66;26.91;3.82;93.68;93.78;90.94;94;98.7;94.44;3.75;0;5.89;2.51;4.35;1.06;89.37;94.88;88.68;88.22;90.23;48.43;41.91;74.94;73.55;36.81;80.53;31.08;6.95;253.33;380;530;755;1036.67;0.36;1.29;2.78;4.66;11.92;22.16;41.72;26.47;6.62;42.78;17.86;34.98;57.22;67.34;5.93;4.8;558.38;184.9;1478.1;313.65;478.2;620.7;1195.35;559.07;28.94;95.38;194.06;0.22;12.44;0.99;16.39;11.99;8.34;0;64;62.8;48.5;47.07;0.69;8.25;8.28;7.47;20.53;78.64;90.2;97.22;839.25;55;4.3;26.72;80.5;61.11;83.57;8.1;28.21;32.8;15.71;7.29;11.33;0.18;52.67;6.34;20.25;99.04;98.66;14.42;98.69;99.92;0.94;1.7;12.65;6.32;1.3;23.69;4.44;41.86;0;4.34;4.25;9.23;0.55;3.54;0.08;95;140;164;162;120;133;151;141;138;123;105;131;91;110;63;54;1981;60;90;116;129;145;130;136;126;139;141;127;117;102;118;86;79;60;69;1910;1907;11;52;1844;32;205;152;154;106;3217;177;600;174;3040;187;423;184;2617;47;45;41;239;554;581;116;73;1602;1328;636;3891;3255;3467;256;193;3018;3885;3880;484;0.86;741;0.71;0.84;682;-21.9527;-51.413956
