GEOCODIGO_MUNICIPIO,NOME_MUNICIPIO,LONGITUDE,LATITUDE
1100015,ALTA FLORESTA D'OESTE,"-61,999824","-11,93554"
1100023,ARIQUEMES,"-63,033269","-9,908463"
1100031,CABIXI,"-60,544314","-13,499763"
1100049,CACOAL,"-61,442944","-11,433865"
1100056,CEREJEIRAS,"-60,818426","-13,195033"
1100064,COLORADO DO OESTE,"-60,555067","-13,130564"
1100072,CORUMBIARA,"-60,948701","-12,99752"
1100080,COSTA MARQUES,"-64,231654","-12,436014"
1100098,ESPIGÃO D'OESTE,"-61,020173","-11,528555"
1100106,GUAJARÁ-MIRIM,"-65,323952","-10,773884"
1100114,JARU,"-62,476231","-10,435949"
1100122,JI-PARANÁ,"-61,945095","-10,882051"
1100130,MACHADINHO D'OESTE,"-61,999593","-9,425562"
1100148,NOVA BRASILÂNDIA D'OESTE,"-62,30823","-11,721325"
1100155,OURO PRETO DO OESTE,"-62,261055","-10,723574"
1100189,PIMENTA BUENO,"-61,183666","-11,677537"
1100205,PORTO VELHO,"-63,831446","-8,768892"
1100254,PRESIDENTE MÉDICI,"-61,909439","-11,173205"
1100262,RIO CRESPO,"-62,90001","-9,705537"
1100288,ROLIM DE MOURA,"-61,785781","-11,722259"
1100296,SANTA LUZIA D'OESTE,"-61,773305","-11,908423"
1100304,VILHENA,"-60,138584","-12,741373"
1100320,SÃO MIGUEL DO GUAPORÉ,"-62,720063","-11,69949"
1100338,NOVA MAMORÉ,"-65,329149","-10,411771"
1100346,ALVORADA D'OESTE,"-62,277275","-11,34413"
1100379,ALTO ALEGRE DOS PARECIS,"-61,853077","-12,131777"
1100403,ALTO PARAÍSO,"-63,317629","-9,716667"
1100452,BURITIS,"-63,829679","-10,209805"
1100502,NOVO HORIZONTE DO OESTE,"-61,994388","-11,709743"
1100601,CACAULÂNDIA,"-62,90319","-10,338873"
1100700,CAMPO NOVO DE RONDÔNIA,"-63,624991","-10,568416"
1100809,CANDEIAS DO JAMARI,"-63,70002","-8,785021"
1100908,CASTANHEIRAS,"-61,949161","-11,426842"
1100924,CHUPINGUAIA,"-60,901848","-12,556841"
1100940,CUJUBIM,"-62,587175","-9,378193"
1101005,GOVERNADOR JORGE TEIXEIRA,"-62,740458","-10,612072"
1101104,ITAPUÃ DO OESTE,"-63,182337","-9,191872"
1101203,MINISTRO ANDREAZZA,"-61,518922","-11,196238"
1101302,MIRANTE DA SERRA,"-62,669427","-11,045609"
1101401,MONTE NEGRO,"-63,295559","-10,263098"
